name_en	name	country	lat	lon
Shanghai	上海市	People's Republic of China	31.166666666667	121.46666666667
Beijing	北京市	People's Republic of China	39.905	116.39138888889
Tokyo	東京都	Japan	35.68	139.77
Tianjin	天津市	People's Republic of China	39.146666666667	117.20555555556
Guangzhou	广州市	People's Republic of China	23.128795	113.258976
Mumbai	Мумбаи	India	19.07283	72.88261
São Paulo	São Paulo	Brazil	-23.550394444444	-46.633947222222
Nanyang	南阳市	People's Republic of China	32.99871	112.52921
Shenzhen	深圳市	People's Republic of China	22.535	114.054
Wuhan	武汉市	People's Republic of China	30.58333	114.26667
Chengdu	成都市	People's Republic of China	30.66667	104.06667
Linyi	临沂市	People's Republic of China	35.060555555556	118.3425
Shijiazhuang	石家庄市	People's Republic of China	38.042222222222	114.50861111111
Baoding	保定市	People's Republic of China	38.86712	115.48452
Lahore	لاہور	Pakistan	31.549722222222	74.343611111111
Chennai	Ченнаи	India	13.09	80.27
Zhoukou	周口市	People's Republic of China	33.62502	114.6418
Seoul	서울특별시	South Korea	37.583333333333	127.0
Jakarta	Jakarta	Indonesia	-6.21462	106.84513
Hangzhou	杭州市	People's Republic of China	30.274097	120.155067
Tehran	تهران	Iran	35.7	51.416666666667
London	London	United Kingdom	51.507222222222	-0.1275
Heze	菏泽市	People's Republic of China	35.233333333333	115.43333333333
Xuzhou	徐州市	People's Republic of China	34.26104	117.18587
New York City	New York	United States of America	40.67	-73.94
Weifang	潍坊市	People's Republic of China	36.71	119.10194
Handan	邯郸市	People's Republic of China	36.60056	114.46778
Fuyang	阜阳市	People's Republic of China	32.89856	115.80447
Dongguan	东莞市	People's Republic of China	23.01797	113.74866
Ganzhou	赣州市	People's Republic of China	25.829166666667	114.93361111111
Jining	济宁市	People's Republic of China	35.4	116.56666666667
Chongqing	重庆市	People's Republic of China	29.55	106.50694444444
Shenyang	沈阳市	People's Republic of China	41.803888888889	123.42583333333
Hanoi	Hà Nội	Vietnam	21.0245	105.84117
Changchun	长春市	People's Republic of China	43.9	125.2
